codigo;nota;justificativa
101050-6;8;Informar os riscos aos trabalhadores (DDS, comunicados, ordem de serviço - registro documental simples)
101053-0;8;Elaborar procedimento escrito para caso de acidente ou doença do trabalho (documento produzido pela assessoria de SST)
101059-0;8;Revisar a metodologia do PGR incluindo a etapa de evitar/eliminar riscos (retrabalho documental da assessoria de SST)
101060-3;8;Revisar o inventário de riscos do PGR (identificação de perigos) pela assessoria de SST
101061-1;8;Incluir a avaliação e o nível de risco no inventário do PGR (retrabalho documental da assessoria de SST)
101064-6;8;Incluir a AEP e as condições da NR-17 no PGR (consultoria de ergonomia, sem obra física)
210003-7;8;Contratar profissional para elaborar os esquemas unifilares atualizados (serviço comum de mercado)
210016-9;8;Organizar, atualizar e disponibilizar o Prontuário de Instalações Elétricas já existente
210190-4;9;Instalar sinalização de segurança (compra e fixação de placas)
210191-2;8;Elaborar procedimentos de trabalho por escrito (documental)
312432-0;8;Implantar o registro de manutenções das máquinas em livro, ficha ou sistema informatizado
312494-0;9;Elaborar relação atualizada das máquinas e equipamentos (planilha simples)
318140-5;10;Realizar a comunicação prévia de obra (CPO) online - imediata e sem custo
318142-1;8;Fazer ou atualizar o PGR do canteiro por profissional legalmente habilitado (consultoria de SST)
318144-8;8;Entregar/receber o inventário de riscos entre contratada e contratante (troca documental)
318287-8;8;Elaborar procedimentos de segurança para máquinas e ferramentas fora da NR-12 (documental)
318308-4;8;Reunir e manter no canteiro os documentos dos equipamentos de guindar
318316-5;8;Implantar o registro (checklist) das inspeções diárias dos equipamentos de guindar
318376-9;9;Implantar o registro formal de liberação de uso dos andaimes (formulário assinado)
135165-6;8;Elaborar a Análise de Risco e emitir a Permissão de Trabalho (documental, pela assessoria de SST)
135166-4;8;Elaborar procedimento operacional para as atividades rotineiras de trabalho em altura
135172-9;8;Estabelecer a sistemática de autorização dos trabalhadores para trabalho em altura (formulário próprio)
135173-7;9;Organizar e arquivar a documentação da NR-35 pelo prazo de 5 anos
135174-5;8;Formalizar a autorização dos trabalhadores que já atuam em altura (treinamento + aptidão + termo de autorização)
135178-8;8;Promover o treinamento inicial de trabalho em altura (curso de mercado, 8 horas)
135179-6;8;Promover o treinamento periódico bienal de trabalho em altura (curso de mercado, 8 horas)
135181-8;8;Incluir a aptidão para trabalho em altura no ASO/PCMSO (exame médico de mercado)
