codigo;nr;gradacao
101049-2;NR-01;I3
101050-6;NR-01;I3
101051-4;NR-01;I2
101052-2;NR-01;I2
101053-0;NR-01;I4
101054-9;NR-01;I2
101055-7;NR-01;I3
101056-5;NR-01;I4
101057-3;NR-01;I2
101058-1;NR-01;I3
101059-0;NR-01;I3
101060-3;NR-01;I3
101061-1;NR-01;I3
101062-0;NR-01;I3
101063-8;NR-01;I3
101064-6;NR-01;I3
101066-2;NR-01;I3
101067-0;NR-01;I3
101068-9;NR-01;I3
101069-7;NR-01;I3
101070-0;NR-01;I3
101071-9;NR-01;I3
101072-7;NR-01;I3
101073-5;NR-01;I3
101074-3;NR-01;I3
101075-1;NR-01;I3
101076-0;NR-01;I3
101077-8;NR-01;I4
101078-6;NR-01;I3
101079-4;NR-01;I2
101080-8;NR-01;I3
101081-6;NR-01;I3
101082-4;NR-01;I3
101083-2;NR-01;I3
101084-0;NR-01;I2
101085-9;NR-01;I2
101086-7;NR-01;I3
101087-5;NR-01;I1
101088-3;NR-01;I3
101089-1;NR-01;I3
101090-5;NR-01;I3
101091-3;NR-01;I2
101092-1;NR-01;I3
101093-0;NR-01;I3
101094-8;NR-01;I3
101095-6;NR-01;I3
101096-4;NR-01;I2
101097-2;NR-01;I3
101098-0;NR-01;I2
101099-9;NR-01;I3
101100-6;NR-01;I2
101101-4;NR-01;I3
101103-0;NR-01;I3
101104-9;NR-01;I3
101105-7;NR-01;I2
101106-5;NR-01;I2
101107-3;NR-01;I3
101108-1;NR-01;I1
101109-0;NR-01;I3
101110-3;NR-01;I2
101111-1;NR-01;I2
101112-0;NR-01;I3
101113-8;NR-01;I3
101114-6;NR-01;I3
101115-4;NR-01;I2
101116-2;NR-01;I3
103008-6;NR-03;I4
103009-4;NR-03;I4
103010-8;NR-03;I4
103011-6;NR-03;I2
104044-8;NR-04;I4
104046-4;NR-04;I3
104047-2;NR-04;I3
104048-0;NR-04;I3
104049-9;NR-04;I3
104050-2;NR-04;I2
104051-0;NR-04;I3
104052-9;NR-04;I3
104053-7;NR-04;I3
104054-5;NR-04;I3
104055-3;NR-04;I3
104056-1;NR-04;I3
104057-0;NR-04;I3
104058-8;NR-04;I3
104060-0;NR-04;I3
104063-4;NR-04;I3
104065-0;NR-04;I3
104066-9;NR-04;I3
104067-7;NR-04;I2
104069-3;NR-04;I3
104070-7;NR-04;I3
104071-5;NR-04;I3
104072-3;NR-04;I3
104073-1;NR-04;I3
104074-0;NR-04;I3
104075-8;NR-04;I3
104076-6;NR-04;I3
104077-4;NR-04;I3
104078-2;NR-04;I3
104079-0;NR-04;I3
104080-4;NR-04;I3
104081-2;NR-04;I3
104082-0;NR-04;I3
104083-9;NR-04;I3
104084-7;NR-04;I3
104085-5;NR-04;I3
104086-3;NR-04;I3
104087-1;NR-04;I3
104088-0;NR-04;I3
104089-8;NR-04;I2
104090-1;NR-04;I2
104091-0;NR-04;I2
104092-8;NR-04;I2
104093-6;NR-04;I2
107100-9;NR-07;I3
107101-7;NR-07;I4
107102-5;NR-07;I2
107103-3;NR-07;I2
107104-1;NR-07;I4
107105-0;NR-07;I3
107106-8;NR-07;I3
107108-4;NR-07;I2
107109-2;NR-07;I2
107110-6;NR-07;I3
107111-4;NR-07;I3
107112-2;NR-07;I3
107113-0;NR-07;I3
107114-9;NR-07;I3
107115-7;NR-07;I3
107116-5;NR-07;I3
107117-3;NR-07;I3
107118-1;NR-07;I2
107119-0;NR-07;I3
107120-3;NR-07;I3
107121-1;NR-07;I3
107124-6;NR-07;I3
107125-4;NR-07;I2
107127-0;NR-07;I3
107128-9;NR-07;I3
107129-7;NR-07;I2
107130-0;NR-07;I2
107131-9;NR-07;I1
107132-7;NR-07;I3
107135-1;NR-07;I2
107136-0;NR-07;I2
107137-8;NR-07;I3
107139-4;NR-07;I2
107140-8;NR-07;I4
107141-6;NR-07;I2
107142-4;NR-07;I2
