CDUORG;NOME;UF;MUNICIPIO;ENDERECO;BAIRRO;CEP
027900001;AGÊNCIA REGIONAL DO TRABALHO EM BRASILÉIA;AC;BRASILÉIA;X;;99999999
027900002;AGÊNCIA REGIONAL DO TRABALHO EM CRUZEIRO DO SUL;AC;CRUZEIRO DO SUL;RUA REGOS BARROS, 168;CENTRO;69980000
027900003;AGÊNCIA REGIONAL DO TRABALHO EM TARAUACÁ;AC;FEIJÓ;X;;99999999
027900004;AGÊNCIA DE ATENDIMENTO PLACIDO DE CASTRO;AC;PLÁCIDO DE CASTRO;AV. EPAMINONDAS JACOME, 146;;69928000
027000000;SUPERINTENDÊNCIA REGIONAL DO TRABALHO NO ACRE;AC;RIO BRANCO;RUA MARECHAL DEODORO, 257;CENTRO;69900066
031901000;GERENCIA REGIONAL DO TRABALHO EM ARAPIRACA;AL;ARAPIRACA;XXX;xxx;99999999
112000028;AGÊNCIA REGIONAL DO TRABALHO EM ARAPIRACA;AL;ARAPIRACA;R. FERNANDES LIMA, 547 -;CENTRO;57300070
031900001;AGÊNCIA REGIONAL DO TRABALHO EM ATALAIA;AL;ATALAIA;.;;99999999
031901001;AGÊNCIA DE ATENDIMENTO DELMIRO GOUVEIA;AL;DELMIRO GOUVEIA;INEXISTENTE;;57480000
031000000;SUPERINTENDÊNCIA REGIONAL DO TRABALHO EM ALAGOAS;AL;MACEIÓ;RUA DO LIVRAMENTO, 148 - 6O. ANDAR - ED. WALMAP;Centro;57020030
031900008;AGÊNCIA REGIONAL DO TRABALHO EM PORTO REAL DO COLÉGIO;AL;MACEIÓ;.;;99999999
031901002;AGÊNCIA REGIONAL DO TRABALHO EM PALMEIRA DOS  INDIOS;AL;PALMEIRA DOS ÍNDIOS;.;;99999999
112000029;AGÊNCIA REGIONAL DO TRABALHO EM PALMEIRA DOS INDIOS;AL;PALMEIRA DOS ÍNDIOS;AV. MUNIZ FALCÃO, 545;SÃO LUIZ;57602490
031900002;AGÊNCIA DE ATENDIMENTO DE PENEDO;AL;PENEDO;INEXISTENTE;;57200000
031900003;AGÊNCIA DE ATENDIMENTO DE PORTO CALVO;AL;PORTO CALVO;INEXISTENTE;;57900000
031900004;AGÊNCIA DE ATENDIMENTO DE RIO LARGO;AL;RIO LARGO;RUA CORONEL PEDRO COUTINHO, 139;CENTRO;57100000
031900007;AGÊNCIA REGIONAL DO TRABALHO EM MARAGOGI;AL;SANTANA DO IPANEMA;XXX;xxx;99999999
